candidate,office,district,party,county,precinct,election_day,absentee,votes
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Olive 2 (Olive Free),59,16,75
Blanks,Attorney General,,DEMOCRATIC,Ulster,Olive 2 (Olive Free),0,1,1
Voids,Attorney General,,DEMOCRATIC,Ulster,Olive 2 (Olive Free),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Olive 2 (Olive Free),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Olive 2 (Olive Free),0,0,0
Mike Diederich,Attorney General,,REFORM,Ulster,Olive 2 (Olive Free),1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,Olive 2 (Olive Free),1,0,1
Blanks,Attorney General,,REFORM,Ulster,Olive 2 (Olive Free),0,0,0
Voids,Attorney General,,REFORM,Ulster,Olive 2 (Olive Free),1,1,2
Write-ins,Attorney General,,REFORM,Ulster,Olive 2 (Olive Free),1,1,2
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Olive 3 (Samsonville Methodist),45,12,57
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Olive 3 (Samsonville Methodist),63,7,70
Blanks,Governor,,DEMOCRATIC,Ulster,Olive 3 (Samsonville Methodist),4,1,5
Voids,Governor,,DEMOCRATIC,Ulster,Olive 3 (Samsonville Methodist),0,1,1
Write-ins,Governor,,DEMOCRATIC,Ulster,Olive 3 (Samsonville Methodist),1,0,1
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Olive 3 (Samsonville Methodist),31,4,35
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Olive 3 (Samsonville Methodist),10,2,12
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Olive 3 (Samsonville Methodist),1,2,3
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Olive 3 (Samsonville Methodist),67,11,78
Blanks,Attorney General,,DEMOCRATIC,Ulster,Olive 3 (Samsonville Methodist),4,2,6
Voids,Attorney General,,DEMOCRATIC,Ulster,Olive 3 (Samsonville Methodist),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Olive 3 (Samsonville Methodist),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Olive 3 (Samsonville Methodist),0,0,0
Mike Diederich,Attorney General,,REFORM,Ulster,Olive 3 (Samsonville Methodist),1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,Olive 3 (Samsonville Methodist),0,0,0
Blanks,Attorney General,,REFORM,Ulster,Olive 3 (Samsonville Methodist),0,0,0
Voids,Attorney General,,REFORM,Ulster,Olive 3 (Samsonville Methodist),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Olive 3 (Samsonville Methodist),0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Olive 4 (Olivebridge FH),67,6,73
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Olive 4 (Olivebridge FH),68,11,79
Blanks,Governor,,DEMOCRATIC,Ulster,Olive 4 (Olivebridge FH),6,1,7
Voids,Governor,,DEMOCRATIC,Ulster,Olive 4 (Olivebridge FH),0,1,1
Write-ins,Governor,,DEMOCRATIC,Ulster,Olive 4 (Olivebridge FH),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Olive 4 (Olivebridge FH),25,4,29
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Olive 4 (Olivebridge FH),19,3,22
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Olive 4 (Olivebridge FH),4,1,5
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Olive 4 (Olivebridge FH),89,10,99
Blanks,Attorney General,,DEMOCRATIC,Ulster,Olive 4 (Olivebridge FH),4,0,4
Voids,Attorney General,,DEMOCRATIC,Ulster,Olive 4 (Olivebridge FH),0,1,1
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Olive 4 (Olivebridge FH),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Olive 4 (Olivebridge FH),1,0,1
Mike Diederich,Attorney General,,REFORM,Ulster,Olive 4 (Olivebridge FH),0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,Olive 4 (Olivebridge FH),0,0,0
Blanks,Attorney General,,REFORM,Ulster,Olive 4 (Olivebridge FH),1,0,1
Voids,Attorney General,,REFORM,Ulster,Olive 4 (Olivebridge FH),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Olive 4 (Olivebridge FH),0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Olive 5 (Boiceville FH),48,3,51
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Olive 5 (Boiceville FH),79,7,86
Blanks,Governor,,DEMOCRATIC,Ulster,Olive 5 (Boiceville FH),3,0,3
Voids,Governor,,DEMOCRATIC,Ulster,Olive 5 (Boiceville FH),0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,Olive 5 (Boiceville FH),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Olive 5 (Boiceville FH),29,0,29
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Olive 5 (Boiceville FH),26,1,27
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Olive 5 (Boiceville FH),0,1,1
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Olive 5 (Boiceville FH),74,8,82
Blanks,Attorney General,,DEMOCRATIC,Ulster,Olive 5 (Boiceville FH),1,0,1
Voids,Attorney General,,DEMOCRATIC,Ulster,Olive 5 (Boiceville FH),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Olive 5 (Boiceville FH),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Olive 5 (Boiceville FH),2,0,2
Mike Diederich,Attorney General,,REFORM,Ulster,Olive 5 (Boiceville FH),1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,Olive 5 (Boiceville FH),0,0,0
Blanks,Attorney General,,REFORM,Ulster,Olive 5 (Boiceville FH),1,0,1
Voids,Attorney General,,REFORM,Ulster,Olive 5 (Boiceville FH),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Olive 5 (Boiceville FH),0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Plattekill 1,5 (Plattekill TH)",85,8,93
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Plattekill 1,5 (Plattekill TH)",91,9,100
Blanks,Governor,,DEMOCRATIC,Ulster,"Plattekill 1,5 (Plattekill TH)",2,0,2
Voids,Governor,,DEMOCRATIC,Ulster,"Plattekill 1,5 (Plattekill TH)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Plattekill 1,5 (Plattekill TH)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 1,5 (Plattekill TH)",60,6,66
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 1,5 (Plattekill TH)",24,5,29
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 1,5 (Plattekill TH)",4,0,4
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 1,5 (Plattekill TH)",88,5,93
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 1,5 (Plattekill TH)",2,0,2
Voids,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 1,5 (Plattekill TH)",0,1,1
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 1,5 (Plattekill TH)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Plattekill 1,5 (Plattekill TH)",0,0,0
Mike Diederich,Attorney General,,REFORM,Ulster,"Plattekill 1,5 (Plattekill TH)",1,1,2
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Plattekill 1,5 (Plattekill TH)",1,0,1
Blanks,Attorney General,,REFORM,Ulster,"Plattekill 1,5 (Plattekill TH)",1,0,1
Voids,Attorney General,,REFORM,Ulster,"Plattekill 1,5 (Plattekill TH)",0,2,2
Write-ins,Attorney General,,REFORM,Ulster,"Plattekill 1,5 (Plattekill TH)",0,0,0
James G Skoufis,State Senate,39,REFORM,Ulster,"Plattekill 1,5 (Plattekill TH)",1,1,2
Blanks,State Senate,39,REFORM,Ulster,"Plattekill 1,5 (Plattekill TH)",2,0,2
Voids,State Senate,39,REFORM,Ulster,"Plattekill 1,5 (Plattekill TH)",0,2,2
Write-ins,State Senate,39,REFORM,Ulster,"Plattekill 1,5 (Plattekill TH)",0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Plattekill 2,4 (Modena FH)",68,7,75
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Plattekill 2,4 (Modena FH)",126,6,132
Blanks,Governor,,DEMOCRATIC,Ulster,"Plattekill 2,4 (Modena FH)",6,0,6
Voids,Governor,,DEMOCRATIC,Ulster,"Plattekill 2,4 (Modena FH)",0,1,1
Write-ins,Governor,,DEMOCRATIC,Ulster,"Plattekill 2,4 (Modena FH)",1,0,1
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 2,4 (Modena FH)",84,7,91
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 2,4 (Modena FH)",46,1,47
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 2,4 (Modena FH)",4,3,7
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 2,4 (Modena FH)",62,3,65
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 2,4 (Modena FH)",5,0,5
Voids,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 2,4 (Modena FH)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 2,4 (Modena FH)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Plattekill 2,4 (Modena FH)",9,0,9
Mike Diederich,Attorney General,,REFORM,Ulster,"Plattekill 2,4 (Modena FH)",4,0,4
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Plattekill 2,4 (Modena FH)",3,0,3
Blanks,Attorney General,,REFORM,Ulster,"Plattekill 2,4 (Modena FH)",8,0,8
Voids,Attorney General,,REFORM,Ulster,"Plattekill 2,4 (Modena FH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Plattekill 2,4 (Modena FH)",1,0,1
James G Skoufis,State Senate,39,REFORM,Ulster,"Plattekill 2,4 (Modena FH)",11,0,11
Blanks,State Senate,39,REFORM,Ulster,"Plattekill 2,4 (Modena FH)",13,0,13
Voids,State Senate,39,REFORM,Ulster,"Plattekill 2,4 (Modena FH)",0,0,0
Write-ins,State Senate,39,REFORM,Ulster,"Plattekill 2,4 (Modena FH)",1,0,1
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Plattekill 3,6 (Clintondale FH)",71,3,74
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Plattekill 3,6 (Clintondale FH)",75,3,78
Blanks,Governor,,DEMOCRATIC,Ulster,"Plattekill 3,6 (Clintondale FH)",5,0,5
Voids,Governor,,DEMOCRATIC,Ulster,"Plattekill 3,6 (Clintondale FH)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Plattekill 3,6 (Clintondale FH)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 3,6 (Clintondale FH)",41,4,45
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 3,6 (Clintondale FH)",23,0,23
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 3,6 (Clintondale FH)",6,0,6
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 3,6 (Clintondale FH)",76,2,78
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 3,6 (Clintondale FH)",3,0,3
Voids,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 3,6 (Clintondale FH)",2,0,2
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Plattekill 3,6 (Clintondale FH)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Plattekill 3,6 (Clintondale FH)",9,0,9
Mike Diederich,Attorney General,,REFORM,Ulster,"Plattekill 3,6 (Clintondale FH)",0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Plattekill 3,6 (Clintondale FH)",7,0,7
Blanks,Attorney General,,REFORM,Ulster,"Plattekill 3,6 (Clintondale FH)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Plattekill 3,6 (Clintondale FH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Plattekill 3,6 (Clintondale FH)",1,0,1
James G Skoufis,State Senate,39,REFORM,Ulster,"Plattekill 3,6 (Clintondale FH)",13,0,13
Blanks,State Senate,39,REFORM,Ulster,"Plattekill 3,6 (Clintondale FH)",4,0,4
Voids,State Senate,39,REFORM,Ulster,"Plattekill 3,6 (Clintondale FH)",0,0,0
Write-ins,State Senate,39,REFORM,Ulster,"Plattekill 3,6 (Clintondale FH)",0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Rochester 1,5 (Accord FH)",168,25,193
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Rochester 1,5 (Accord FH)",132,19,151
Blanks,Governor,,DEMOCRATIC,Ulster,"Rochester 1,5 (Accord FH)",2,1,3
Voids,Governor,,DEMOCRATIC,Ulster,"Rochester 1,5 (Accord FH)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Rochester 1,5 (Accord FH)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Rochester 1,5 (Accord FH)",71,8,79
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Rochester 1,5 (Accord FH)",28,12,40
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Rochester 1,5 (Accord FH)",6,0,6
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Rochester 1,5 (Accord FH)",191,24,215
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Rochester 1,5 (Accord FH)",6,0,6
Voids,Attorney General,,DEMOCRATIC,Ulster,"Rochester 1,5 (Accord FH)",0,1,1
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Rochester 1,5 (Accord FH)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Rochester 1,5 (Accord FH)",2,0,2
Mike Diederich,Attorney General,,REFORM,Ulster,"Rochester 1,5 (Accord FH)",4,0,4
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Rochester 1,5 (Accord FH)",3,1,4
Blanks,Attorney General,,REFORM,Ulster,"Rochester 1,5 (Accord FH)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Rochester 1,5 (Accord FH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Rochester 1,5 (Accord FH)",0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Rochester 2 (First Mun. Bldg),51,4,55
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Rochester 2 (First Mun. Bldg),61,5,66
Blanks,Governor,,DEMOCRATIC,Ulster,Rochester 2 (First Mun. Bldg),3,1,4
Voids,Governor,,DEMOCRATIC,Ulster,Rochester 2 (First Mun. Bldg),0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,Rochester 2 (First Mun. Bldg),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Rochester 2 (First Mun. Bldg),27,4,31
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Rochester 2 (First Mun. Bldg),15,2,17
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Rochester 2 (First Mun. Bldg),2,0,2
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Rochester 2 (First Mun. Bldg),68,4,72
Blanks,Attorney General,,DEMOCRATIC,Ulster,Rochester 2 (First Mun. Bldg),3,0,3
Voids,Attorney General,,DEMOCRATIC,Ulster,Rochester 2 (First Mun. Bldg),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Rochester 2 (First Mun. Bldg),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Rochester 2 (First Mun. Bldg),1,2,3
Mike Diederich,Attorney General,,REFORM,Ulster,Rochester 2 (First Mun. Bldg),1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,Rochester 2 (First Mun. Bldg),2,0,2
Blanks,Attorney General,,REFORM,Ulster,Rochester 2 (First Mun. Bldg),1,0,1
Voids,Attorney General,,REFORM,Ulster,Rochester 2 (First Mun. Bldg),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Rochester 2 (First Mun. Bldg),2,0,2
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Rochester 3 (Rochester 2 FH),79,23,102
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Rochester 3 (Rochester 2 FH),55,19,74
Blanks,Governor,,DEMOCRATIC,Ulster,Rochester 3 (Rochester 2 FH),3,1,4
Voids,Governor,,DEMOCRATIC,Ulster,Rochester 3 (Rochester 2 FH),0,1,1
Write-ins,Governor,,DEMOCRATIC,Ulster,Rochester 3 (Rochester 2 FH),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Rochester 3 (Rochester 2 FH),31,6,37
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Rochester 3 (Rochester 2 FH),10,8,18
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Rochester 3 (Rochester 2 FH),0,0,0
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Rochester 3 (Rochester 2 FH),93,30,123
Blanks,Attorney General,,DEMOCRATIC,Ulster,Rochester 3 (Rochester 2 FH),2,0,2
Voids,Attorney General,,DEMOCRATIC,Ulster,Rochester 3 (Rochester 2 FH),1,0,1
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Rochester 3 (Rochester 2 FH),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Rochester 3 (Rochester 2 FH),1,0,1
Mike Diederich,Attorney General,,REFORM,Ulster,Rochester 3 (Rochester 2 FH),1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,Rochester 3 (Rochester 2 FH),0,0,0
Blanks,Attorney General,,REFORM,Ulster,Rochester 3 (Rochester 2 FH),0,0,0
Voids,Attorney General,,REFORM,Ulster,Rochester 3 (Rochester 2 FH),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Rochester 3 (Rochester 2 FH),0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Rochester 4 (Alligerville FH),102,14,116
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Rochester 4 (Alligerville FH),74,15,89
Blanks,Governor,,DEMOCRATIC,Ulster,Rochester 4 (Alligerville FH),4,0,4
Voids,Governor,,DEMOCRATIC,Ulster,Rochester 4 (Alligerville FH),1,0,1
Write-ins,Governor,,DEMOCRATIC,Ulster,Rochester 4 (Alligerville FH),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Rochester 4 (Alligerville FH),27,5,32
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Rochester 4 (Alligerville FH),14,5,19
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Rochester 4 (Alligerville FH),2,0,2
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Rochester 4 (Alligerville FH),106,19,125
Blanks,Attorney General,,DEMOCRATIC,Ulster,Rochester 4 (Alligerville FH),0,0,0
Voids,Attorney General,,DEMOCRATIC,Ulster,Rochester 4 (Alligerville FH),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Rochester 4 (Alligerville FH),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Rochester 4 (Alligerville FH),3,0,3
Mike Diederich,Attorney General,,REFORM,Ulster,Rochester 4 (Alligerville FH),0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,Rochester 4 (Alligerville FH),3,0,3
Blanks,Attorney General,,REFORM,Ulster,Rochester 4 (Alligerville FH),0,0,0
Voids,Attorney General,,REFORM,Ulster,Rochester 4 (Alligerville FH),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Rochester 4 (Alligerville FH),3,0,3
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",533,42,575
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",353,28,381
Blanks,Governor,,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",15,0,15
Voids,Governor,,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",167,12,179
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",68,5,73
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",6,1,7
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",648,50,698
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",12,1,13
Voids,Attorney General,,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",0,1,1
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",0,0,0
Pramilla Malick,State Senate,42,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",67,2,69
Jen Metzger,State Senate,42,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",811,68,879
Blanks,State Senate,42,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",23,0,23
Voids,State Senate,42,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",0,0,0
Write-ins,State Senate,42,DEMOCRATIC,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",24,1,25
Mike Diederich,Attorney General,,REFORM,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",3,1,4
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",1,1,2
Blanks,Attorney General,,REFORM,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",40,2,42
Voids,Attorney General,,REFORM,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",0,5,5
Write-ins,Attorney General,,REFORM,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",23,1,24
Ann G Rabbitt,State Senate,42,REFORM,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",12,3,15
Blanks,State Senate,42,REFORM,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",8,1,9
Voids,State Senate,42,REFORM,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",0,5,5
Write-ins,State Senate,42,REFORM,Ulster,"Rosendale 1,2,3,4,5 (Rec Cntr)",71,2,73
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",213,23,236
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",197,20,217
Blanks,Governor,,DEMOCRATIC,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",2,2,4
Voids,Governor,,DEMOCRATIC,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",106,11,117
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",48,2,50
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",7,1,8
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",245,27,272
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",6,2,8
Voids,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",0,2,2
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",3,0,3
Mike Diederich,Attorney General,,REFORM,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",1,1,2
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",1,1,2
Blanks,Attorney General,,REFORM,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Saugerties 1,2,3,4,14 (Senior Cntr)",0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",273,21,294
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",268,40,308
Blanks,Governor,,DEMOCRATIC,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",11,0,11
Voids,Governor,,DEMOCRATIC,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",1,0,1
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",115,10,125
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",74,9,83
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",7,1,8
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",348,38,386
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",9,0,9
Voids,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",0,3,3
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",7,0,7
Mike Diederich,Attorney General,,REFORM,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",2,0,2
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",2,0,2
Blanks,Attorney General,,REFORM,Ulster,"Saugerties 5,9,15,16 (Grant D Morse)",0,0,0
